stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,intro.started,text.started,key_resp_2.started,intro.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trial.started,polygon.started,polygon.stopped,grating.started,key_resp.started,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,thanks.started,text_2.started,text_2.stopped,thanks.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
11,1,2.0,12.922318099997938,,,,,,,,,12.90676790010184,12.922318099997938,13.422062900150195,13.422062900150195,13.422062900150195,13.722259999951348,13.856245200149715,right,2.0,0,0,0.4196174000389874,,,,,01_ss,001,2025-09-04_22h51.27.171,adaptive_staircase,2024.2.4,59.9523618953013,2025-09-04 22h51.36.601911 +0530,
12,1,3.0,13.87232349999249,,,,,,,,,13.856441200012341,13.87232349999249,14.372616700129583,14.3556900001131,14.3556900001131,14.655703100143,14.839837400009856,left,-3.0,1,1,0.47365699987858534,,,,,01_ss,001,2025-09-04_22h51.27.171,adaptive_staircase,2024.2.4,59.9523618953013,2025-09-04 22h51.36.601911 +0530,
13,1,3.0,14.855365700088441,,,,,,,,,14.840030699968338,14.855365700088441,15.355616400018334,15.339237699983642,15.339237699983642,15.639130200026557,15.722886000061408,right,3.0,1,1,0.37091649998910725,,,,,01_ss,001,2025-09-04_22h51.27.171,adaptive_staircase,2024.2.4,59.9523618953013,2025-09-04 22h51.36.601911 +0530,
14,1,3.0,15.739052599994466,,,,,,,,,15.722997999982908,15.739052599994466,16.239936399972066,16.2221991000697,16.2221991000697,16.52242220006883,16.73907839995809,right,3.0,1,1,0.5056753000244498,,,,,01_ss,001,2025-09-04_22h51.27.171,adaptive_staircase,2024.2.4,59.9523618953013,2025-09-04 22h51.36.601911 +0530,
15,1,2.0,16.75547070009634,,,,,,,,,16.739198500057682,16.75547070009634,17.255564900115132,17.238999200053513,17.238999200053513,17.538884400157258,17.789468999952078,right,2.0,1,1,0.538539299974218,,,,,01_ss,001,2025-09-04_22h51.27.171,adaptive_staircase,2024.2.4,59.9523618953013,2025-09-04 22h51.36.601911 +0530,
16,1,2.0,17.80538980010897,,,,,,,,,17.789588100044057,17.80538980010897,18.305926800007,18.288990000030026,18.288990000030026,18.58918910007924,18.82322070002556,right,2.0,1,1,0.521413000067696,,,,,01_ss,001,2025-09-04_22h51.27.171,adaptive_staircase,2024.2.4,59.9523618953013,2025-09-04 22h51.36.601911 +0530,
17,1,2.0,18.83893180009909,,,,,,,,,18.823391400044784,18.83893180009909,19.339111200068146,19.339111200068146,19.339111200068146,19.639037000015378,19.88947149994783,right,2.0,1,1,0.5339442999102175,,,,,01_ss,001,2025-09-04_22h51.27.171,adaptive_staircase,2024.2.4,59.9523618953013,2025-09-04 22h51.36.601911 +0530,
18,1,1.0,19.905445200158283,,,,,,,,,19.88969420013018,19.905445200158283,20.405498600099236,20.389325099997222,20.389325099997222,20.68864469998516,20.83978070016019,left,-1.0,1,1,0.44701589993201196,,,,,01_ss,001,2025-09-04_22h51.27.171,adaptive_staircase,2024.2.4,59.9523618953013,2025-09-04 22h51.36.601911 +0530,
19,0.5,1.0,20.855643599992618,,,,,,,,,20.83995610009879,20.855643599992618,21.355545100057498,21.33909499994479,21.33909499994479,21.63894600002095,21.92316860007122,right,1.0,0,0,0.5795485998969525,,,,,01_ss,001,2025-09-04_22h51.27.171,adaptive_staircase,2024.2.4,59.9523618953013,2025-09-04 22h51.36.601911 +0530,
20,0.5,1.5,21.9388868000824,,,,,,,,,21.923368100076914,21.9388868000824,22.439200000138953,22.439200000138953,22.439200000138953,22.738995400024578,22.873194799991325,left,-1.5,1,1,0.4248358001932502,,,,,01_ss,001,2025-09-04_22h51.27.171,adaptive_staircase,2024.2.4,59.9523618953013,2025-09-04 22h51.36.601911 +0530,
21,0.5,1.5,22.88934680004604,,,,,,,,,22.873343100072816,22.88934680004604,23.389309900114313,23.37216030014679,23.37216030014679,23.67229300015606,23.839656200027093,left,-1.5,1,1,0.4577572999987751,,,,,01_ss,001,2025-09-04_22h51.27.171,adaptive_staircase,2024.2.4,59.9523618953013,2025-09-04 22h51.36.601911 +0530,
22,0.5,1.5,23.85551130003296,,,,,,,,,23.839850699994713,23.85551130003296,24.355616100132465,24.339290300151333,24.339290300151333,24.63902260013856,24.823297300143167,right,1.5,0,0,0.4726227999199182,,,,,01_ss,001,2025-09-04_22h51.27.171,adaptive_staircase,2024.2.4,59.9523618953013,2025-09-04 22h51.36.601911 +0530,
23,0.5,2.0,24.83898610016331,,,,,,,,,24.82350940001197,24.83898610016331,25.33925630012527,25.322596500162035,25.322596500162035,25.62250449997373,25.806519200094044,left,-2.0,1,1,0.4815722000785172,,,,,01_ss,001,2025-09-04_22h51.27.171,adaptive_staircase,2024.2.4,59.9523618953013,2025-09-04 22h51.36.601911 +0530,
24,0.5,2.0,25.822184100048617,,,,,,,,,25.806747700087726,25.822184100048617,26.322328000096604,26.322328000096604,26.322328000096604,26.6220186999999,26.72293379995972,left,-2.0,0,0,0.39385390002280474,,,,,01_ss,001,2025-09-04_22h51.27.171,adaptive_staircase,2024.2.4,59.9523618953013,2025-09-04 22h51.36.601911 +0530,
25,0.5,2.5,26.739453400019556,,,,,,,,,26.72305539995432,26.739453400019556,27.23969620000571,27.22255800012499,27.22255800012499,27.522290100110695,27.856489700032398,left,-2.5,1,1,0.6218960999976844,,,,,01_ss,001,2025-09-04_22h51.27.171,adaptive_staircase,2024.2.4,59.9523618953013,2025-09-04 22h51.36.601911 +0530,
26,0.5,2.5,27.872223200043663,,,,,,,,,27.856747400015593,27.872223200043663,28.37230319995433,28.35590280010365,28.35590280010365,28.65541850007139,28.95666730008088,right,2.5,1,1,0.5931497998535633,,,,,01_ss,001,2025-09-04_22h51.27.171,adaptive_staircase,2024.2.4,59.9523618953013,2025-09-04 22h51.36.601911 +0530,
27,0.5,2.5,28.972603800008073,,,,,,,,,28.956888400018215,28.972603800008073,29.47251070011407,29.47251070011407,29.47251070011407,29.772362899966538,30.03953710012138,left,-2.5,1,1,0.554537600139156,,,,,01_ss,001,2025-09-04_22h51.27.171,adaptive_staircase,2024.2.4,59.9523618953013,2025-09-04 22h51.36.601911 +0530,
